Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2
h,NS,Male,10,0,16.66666667,8.333333333,8.333333333,8.333333333,8.333333333,0,0,7.692307692,76.92307692,18.18181818
h,ELS,Female,10,0,100,,,,,,,53.84615385,30.76923077,38.46153846
h,ELS,Female,10,0,83.33333333,,,,,,,46.15384615,7.692307692,46.15384615
h,ELS,Female,10,0,100,16.66666667,16.66666667,50,8.333333333,33.33333333,25,15.38461538,38.46153846,#DIV/0!
h,NS,Female,2,0,83.33333333,66.66666667,,,,,,30.76923077,23.07692308,38.46153846
h,NS,Female,2,0,66.66666667,50,,,,,,30.76923077,46.15384615,15.38461538
h,NS,Female,2,0,50,83.33333333,,,,,,15.38461538,15.38461538,15.38461538
h,x,x,x,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
h,NS,Male,10,0,33.33333333,33.33333333,33.33333333,0,58.33333333,66.66666667,23.07692308,15.38461538,7.692307692,0
h,NS,Male,10,0,100,66.66666667,66.66666667,41.66666667,16.66666667,58.33333333,23.07692308,23.07692308,46.15384615,15.38461538
h,ELS,Male,10,0,83.33333333,66.66666667,66.66666667,50,0,0,0,0,7.692307692,15.38461538
h,ELS,Male,10,0,50,50,50,58.33333333,25,50,46.15384615,30.76923077,38.46153846,23.07692308
h,ELS,Male,10,0,100,91.66666667,91.66666667,83.33333333,66.66666667,66.66666667,30.76923077,38.46153846,23.07692308,61.53846154
